Lat,Lon,Value,Param,Datetime
56.089,21.086,-0.2,t,2023-12-04 12:00:00
56.089,21.086,-0.2,t,2023-12-04 13:00:00
56.089,21.086,-0.1,t,2023-12-04 14:00:00
56.089,21.086,-0.1,t,2023-12-04 15:00:00
56.089,21.086,-0.2,t,2023-12-04 16:00:00
56.089,21.086,-0.3,t,2023-12-04 17:00:00
56.089,21.086,-0.4,t,2023-12-04 18:00:00
56.089,21.086,-0.4,t,2023-12-04 19:00:00
56.089,21.086,-0.3,t,2023-12-04 20:00:00
56.089,21.086,-0.2,t,2023-12-04 21:00:00
56.089,21.086,-0.3,t,2023-12-04 22:00:00
56.089,21.086,-0.5,t,2023-12-04 23:00:00
56.089,21.086,-1.2,t,2023-12-05 00:00:00
56.089,21.086,-1.4,t,2023-12-05 01:00:00
56.089,21.086,-1.9,t,2023-12-05 02:00:00
56.089,21.086,-2.9,t,2023-12-05 03:00:00
